hotel_id,city,fix_weakest,most_criticized,reliability_aware,abstention
d1_europe:0a0aa7f4d56f,Vienna,noise,room,noise,
d1_europe:0a23c13bdd51,Paris,breakfast,breakfast,breakfast,
d1_europe:0a6988e14777,London,noise,room,noise,
d1_europe:0a70204c7d12,Paris,value,value,value,Insufficient evidence to recommend an action.
d1_europe:0a96f7a6645d,Paris,noise,room,breakfast,
d1_europe:0aa24f4e2c69,Paris,value,room,value,
d1_europe:0aa6b4d67374,Paris,value,room,value,
d1_europe:0b2ebb0427b4,London,value,room,room,
d1_europe:0b6caa07f1b1,London,breakfast,room,breakfast,
d1_europe:0bd15a99f39d,London,room,room,room,
d1_europe:0bdfe2986431,Amsterdam,value,room,value,
d1_europe:0bfdf0832194,Paris,breakfast,service,breakfast,
d1_europe:0cb2e1429105,Barcelona,value,room,value,
d1_europe:0cd7792be4ee,London,value,service,value,
d1_europe:0cdce1b008b0,London,room,room,room,
d1_europe:0d1bcf8e29db,Paris,value,room,value,
d1_europe:0d41a63435da,Paris,noise,room,noise,
d1_europe:0d4715e626b6,Milan,value,room,value,
d1_europe:0d611be6f11a,Milan,service,service,service,Insufficient evidence to recommend an action.
d1_europe:0d7d97c49582,London,value,room,room,
d1_europe:0d9893e9b26c,Paris,room,room,room,
d1_europe:0da15b5379cc,Paris,noise,room,noise,
d1_europe:0de6324a162e,Vienna,cleanliness,cleanliness,cleanliness,
d1_europe:0df7c373bb9e,Vienna,noise,room,room,
d1_europe:0e351d8b0e19,Milan,breakfast,room,cleanliness,
d1_europe:0e992ed3c87d,Vienna,value,room,noise,
d1_europe:0eb43cea995d,Barcelona,cleanliness,cleanliness,cleanliness,
d1_europe:0f905ec6b1a2,Milan,room,room,room,
d1_europe:0fad5cae0754,Milan,noise,room,noise,
d1_europe:0fb1fc569490,London,value,breakfast,breakfast,
d1_europe:0febca6bd7d7,Barcelona,value,room,value,
d1_europe:10294e29457a,Milan,value,room,value,
d1_europe:102f1b4d88d0,Paris,noise,room,noise,
d1_europe:104289516c73,Barcelona,room,room,room,
d1_europe:105360553157,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:1070f93d3da8,Vienna,value,value,value,
d1_europe:107993e0db9c,Barcelona,value,room,value,
d1_europe:107c74dad281,Paris,value,room,value,
d1_europe:108e327dae64,Milan,noise,room,noise,
d1_europe:109ef67a249c,London,noise,room,noise,
d1_europe:10bdda5ff29b,Barcelona,value,room,value,
d1_europe:10bf67442e19,Milan,breakfast,room,breakfast,
d1_europe:1127faba8d29,Milan,noise,room,noise,
d1_europe:1128ada01668,Paris,value,breakfast,breakfast,
d1_europe:112ba3ab605e,Amsterdam,value,room,value,
d1_europe:112e59b7f73d,Paris,value,room,value,
d1_europe:114ccc57e428,Amsterdam,cleanliness,cleanliness,cleanliness,Insufficient evidence to recommend an action.
d1_europe:11504724335c,Paris,value,breakfast,value,
d1_europe:1155f342d601,Milan,breakfast,breakfast,breakfast,
d1_europe:115791bb4597,Vienna,cleanliness,room,cleanliness,
d1_europe:116c12bfdc38,Barcelona,breakfast,breakfast,breakfast,
d1_europe:118344d56b4d,Barcelona,value,room,value,
d1_europe:1185efea82c9,Paris,cleanliness,room,cleanliness,
d1_europe:119a67ff8867,Milan,noise,room,noise,
d1_europe:11ddf8bf5cd4,Barcelona,noise,room,noise,
d1_europe:11f8458cb628,Milan,room,room,room,
d1_europe:12228997f730,Paris,service,room,service,
d1_europe:12a3bfe8c082,London,breakfast,room,breakfast,
d1_europe:12b1cb14fb5d,Vienna,value,room,value,
d1_europe:12eb72c098e3,Milan,noise,room,noise,
d1_europe:13971cb52a57,Paris,room,room,room,
d1_europe:13a08d4fcd68,London,value,room,value,
d1_europe:13a1c41e77d8,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:13f35981ac87,Amsterdam,value,room,value,
d1_europe:141f0f160d84,London,value,room,value,
d1_europe:1420292bc6af,Paris,room,room,room,
d1_europe:143e991c99f4,Barcelona,value,room,value,
d1_europe:14859c0d228c,London,noise,room,noise,
d1_europe:14d9fea8de32,London,value,room,room,
d1_europe:1506585dd443,Barcelona,noise,room,noise,
d1_europe:150bf4d4b496,Paris,cleanliness,room,cleanliness,Insufficient evidence to recommend an action.
d1_europe:15b880b85e4c,London,value,room,value,
d1_europe:15ca680782ce,London,value,room,value,
d1_europe:16108333c1f0,Barcelona,noise,room,noise,
d1_europe:1668014d06f0,Paris,value,breakfast,breakfast,
d1_europe:1672b62915c6,London,room,room,room,
d1_europe:1698375222db,London,noise,room,noise,
d1_europe:16c349e6a28e,Vienna,service,service,service,
d1_europe:17023a2b1de9,Milan,value,room,value,
d1_europe:1751c4953f85,Vienna,value,room,value,
d1_europe:1755bb16e71c,Paris,value,service,value,
d1_europe:179d89be936d,Milan,noise,room,noise,
d1_europe:179ead63c62b,Vienna,value,room,value,
d1_europe:17a16cd232ba,Paris,room,room,room,
d1_europe:17cc2fd4d589,Milan,noise,noise,noise,
d1_europe:17dd74d6a55d,Paris,value,room,room,
d1_europe:17df11aa6fa2,Paris,breakfast,room,room,
d1_europe:17e21c2ba08f,Paris,breakfast,room,noise,
d1_europe:18007f4c03cf,Paris,breakfast,room,cleanliness,
d1_europe:183e1bd70f4f,London,value,room,value,
d1_europe:185abb9fdf45,Milan,value,room,value,
d1_europe:187983361485,Amsterdam,value,room,value,
d1_europe:18844f24ff32,London,value,room,value,
d1_europe:18ab9da7d555,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:18c5430b52a5,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:1935e1d516a3,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:194bdc723dd2,Amsterdam,value,room,value,
d1_europe:197fd88e6b4f,Amsterdam,value,room,value,
d1_europe:19c4f5bb50d3,London,value,room,value,
d1_europe:19cd33d89808,Paris,noise,room,noise,
d1_europe:1a0ea544c6a8,Milan,noise,room,noise,
d1_europe:1a17fd2c0377,Barcelona,value,room,breakfast,
d1_europe:1a220e63bc4c,London,noise,room,noise,
d1_europe:1a6a49fc4c54,Vienna,value,room,value,
d1_europe:1a77d2b25cd1,Milan,breakfast,room,breakfast,
d1_europe:1a8be1fb32d1,Vienna,cleanliness,room,value,
d1_europe:1a93b379f3eb,Vienna,value,room,value,
d1_europe:1a98318bc7fe,Amsterdam,value,service,value,
d1_europe:1ae0dbb25868,London,value,room,value,
d1_europe:1b0825758275,Vienna,value,room,value,
d1_europe:1b28abfd3c85,Paris,breakfast,room,breakfast,
d1_europe:1b352d70162b,Vienna,value,room,value,
d1_europe:1b494ec3c27d,Barcelona,value,value,value,
d1_europe:1b57ab9c54b7,Barcelona,room,room,room,
d1_europe:1b928afdc2a8,Amsterdam,value,room,value,
d1_europe:1bc994fe9e58,London,noise,room,noise,
d1_europe:1c4d98f5f002,Paris,noise,room,noise,
d1_europe:1c541fdd12f4,London,value,room,value,
d1_europe:1c55a014751c,Paris,room,room,room,
d1_europe:1c6290bcf3cd,London,breakfast,room,breakfast,
d1_europe:1c6a1199cba2,Paris,value,service,value,
d1_europe:1c96c35ee97a,Paris,breakfast,room,breakfast,
d1_europe:1cbc4a5b483c,Vienna,cleanliness,room,value,
d1_europe:1cd90d5c1d8e,Vienna,value,room,value,
d1_europe:1d06ac12adc5,Barcelona,value,room,room,
d1_europe:1dce6af37332,Barcelona,value,room,value,
d1_europe:1dd99f8fdf86,Paris,value,room,value,
d1_europe:1dfa06613347,Vienna,service,room,service,
d1_europe:1e267a963a51,Milan,value,room,value,
d1_europe:1e361b70022c,Paris,cleanliness,room,cleanliness,
d1_europe:1e3e6fad27db,Barcelona,value,room,value,
d1_europe:1e48c258e613,Milan,cleanliness,room,cleanliness,
d1_europe:1e64ed7869f8,Vienna,room,room,room,
d1_europe:1eae67fdb1e2,Vienna,noise,room,noise,
d1_europe:1ee09dbcd8d8,Vienna,service,room,service,
d1_europe:1f19d44f6fec,Milan,room,room,room,
d1_europe:1f331a4d5ffb,London,breakfast,room,breakfast,
d1_europe:1f378be4b2de,Barcelona,breakfast,cleanliness,breakfast,
d1_europe:1fba865c6c3a,Barcelona,cleanliness,room,cleanliness,
d1_europe:1ff51f1048ba,London,value,room,value,
d1_europe:2011829cc024,Paris,breakfast,room,breakfast,
d1_europe:20ad25da8948,London,room,room,room,
d1_europe:20d275682b2b,Vienna,value,value,value,Insufficient evidence to recommend an action.
d1_europe:20fcddf3e923,London,noise,room,noise,
d1_europe:218700cb5e9d,Paris,value,room,value,
d1_europe:21bd3d57654b,London,value,room,value,
d1_europe:21cc1295894a,Barcelona,value,value,value,
d1_europe:21fbab1b7d23,London,room,room,room,
d1_europe:2244fa01316d,Vienna,value,room,value,
d1_europe:226559ccfc31,Paris,cleanliness,room,room,
d1_europe:229a9f96f384,Barcelona,noise,room,noise,
d1_europe:22a352a0935c,Paris,value,room,value,
d1_europe:22d7c3a4977a,Paris,room,room,room,
d1_europe:233ea97acf96,Vienna,noise,room,room,
d1_europe:2340e96fdff6,Amsterdam,value,room,value,
d1_europe:2358d5433ef4,Milan,value,room,value,
d1_europe:235bbbb80e59,London,room,room,room,
d1_europe:238f868bc8e3,London,noise,room,noise,
d1_europe:23bfb6c2a3a1,Barcelona,value,room,value,
d1_europe:23c9e08bba07,Paris,noise,room,cleanliness,
d1_europe:241aef4f2a89,Milan,room,room,room,Insufficient evidence to recommend an action.
d1_europe:2468e8898307,London,noise,room,noise,
d1_europe:247873d79c14,Amsterdam,value,room,value,
d1_europe:247bf4d58a5f,London,value,room,value,
d1_europe:2488f691ef72,Barcelona,value,room,value,
d1_europe:24a3da66397b,Barcelona,breakfast,room,breakfast,
d1_europe:24c2cf3e075e,Milan,breakfast,room,breakfast,
d1_europe:24c928a1fd08,Paris,breakfast,room,breakfast,
d1_europe:24db62ba9669,Paris,room,room,room,
d1_europe:24e58d822a11,Paris,breakfast,room,value,
d1_europe:24ec390d58a2,Barcelona,noise,room,value,
d1_europe:25817e7cd808,Paris,service,service,service,Insufficient evidence to recommend an action.
d1_europe:25f2f8a2fbc7,London,value,room,value,
d1_europe:2603d027cc2e,Paris,room,room,room,
d1_europe:261bc44d5454,London,noise,room,noise,
d1_europe:2647f670656f,Paris,breakfast,breakfast,breakfast,
d1_europe:26512f52fd22,Milan,room,room,room,
d1_europe:265d34b6535c,Amsterdam,breakfast,room,breakfast,
d1_europe:267535a922c9,Milan,noise,room,room,
d1_europe:269072a57a19,Barcelona,value,room,value,
d1_europe:26f63f644e5a,Paris,value,room,value,
d1_europe:2731a27ab026,Paris,value,room,value,
d1_europe:274b35816853,Milan,value,room,value,
d1_europe:2765ba089be8,London,noise,room,noise,
d1_europe:2790258a6dd2,Barcelona,value,room,value,
d1_europe:27acde981655,Amsterdam,value,room,value,
d1_europe:27e10ea8cbfa,London,breakfast,room,breakfast,
d1_europe:27f2d7361593,Vienna,noise,room,noise,
d1_europe:27fe8054ad28,Milan,noise,room,noise,
d1_europe:286322206c18,Paris,value,room,value,
d1_europe:288ce21bd0aa,Barcelona,value,room,value,
d1_europe:2899350320f7,Barcelona,cleanliness,service,cleanliness,
d1_europe:289995a63e56,Paris,breakfast,room,breakfast,
d1_europe:28c44dd6f3da,London,noise,room,noise,
d1_europe:2999b5580400,Amsterdam,value,room,room,
d1_europe:29b55710d078,Barcelona,value,room,value,
d1_europe:29b6cf85154d,Paris,room,room,room,
d1_europe:2a02710ad879,Paris,cleanliness,room,cleanliness,
d1_europe:2a08b7c8b18c,Paris,room,room,room,
d1_europe:2a6a334d6d8e,London,value,room,room,
d1_europe:2a8164df7593,Paris,value,room,value,
d1_europe:2a8a9cad0e73,Barcelona,room,room,room,
d1_europe:2ad1a03a62e8,Barcelona,noise,noise,noise,
d1_europe:2b00594a4a57,Milan,noise,room,noise,
d1_europe:2b010d4dc716,Vienna,room,room,room,Insufficient evidence to recommend an action.
d1_europe:2b0acaa3f7ad,Paris,value,room,value,
d1_europe:2b8ce1f02c76,Barcelona,noise,noise,noise,
d1_europe:2bac0df8818c,Milan,noise,room,noise,
d1_europe:2c3f4e520b3e,Paris,noise,room,noise,
d1_europe:2ca2e45970c6,Milan,value,room,value,
d1_europe:2caadf3a2d37,Paris,breakfast,breakfast,breakfast,
d1_europe:2cac12612876,Paris,breakfast,room,value,
d1_europe:2d047d73353d,London,value,room,value,
d1_europe:2d2ca76bb336,London,value,room,value,
d1_europe:2dd158e8a8dc,Amsterdam,value,room,value,
d1_europe:2df4ea8af11f,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:2e57ccf12801,London,noise,room,noise,
d1_europe:2e660ba7a5f1,Barcelona,value,room,value,
d1_europe:2e6b331fc0c8,Milan,,,,Insufficient evidence to recommend an action.
d1_europe:2eb4cca2c814,London,noise,room,room,
d1_europe:2ec6d3fbf5a3,Paris,cleanliness,cleanliness,cleanliness,Insufficient evidence to recommend an action.
d1_europe:2ecd5e33821b,Milan,noise,breakfast,noise,
d1_europe:2ee3140bf849,Paris,noise,room,noise,
d1_europe:2f6411119add,London,breakfast,room,breakfast,
d1_europe:2f8232788e0a,Barcelona,noise,room,noise,
d1_europe:2fb4217921b8,London,cleanliness,room,cleanliness,
d1_europe:2fd476aeb3a0,Paris,breakfast,room,breakfast,
d1_europe:2febd3170d1d,Barcelona,value,room,value,
d1_europe:303b2eec9c79,Vienna,value,value,value,
d1_europe:3049f6062044,Paris,value,room,noise,
d1_europe:30696ea3a154,London,room,room,room,
d1_europe:3070a80759a1,Paris,value,breakfast,breakfast,
d1_europe:307d13097f26,Amsterdam,value,room,value,
d1_europe:30f78c91fa32,London,noise,room,noise,
d1_europe:3117cacbda28,London,value,room,value,
d1_europe:311a1c0700df,Milan,room,room,room,
d1_europe:312cb161f511,Barcelona,room,room,room,
d1_europe:31414672bbc2,Paris,value,room,value,
d1_europe:315e2dd32d67,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:31bd6ec22df3,London,value,room,room,
d1_europe:31c04d5e5886,London,value,room,value,
d1_europe:31c0e1d199c9,Paris,value,room,value,
d1_europe:31e7ee406b76,London,value,service,value,
d1_europe:32168f5a4c50,Paris,value,room,value,
d1_europe:321c08039a3c,Amsterdam,value,room,value,
d1_europe:32c66202fd9a,Vienna,value,room,value,
d1_europe:331515d0b5d9,Paris,room,room,room,
d1_europe:33283afeefbd,Paris,breakfast,breakfast,breakfast,
d1_europe:336c421c329e,London,value,room,value,
d1_europe:337447ecda00,Vienna,value,room,value,
d1_europe:337b73e81602,London,value,room,value,
d1_europe:34343e6e5670,Paris,service,room,service,
d1_europe:343f143ee8b9,London,room,room,noise,
d1_europe:348f955edcea,Milan,value,room,value,
d1_europe:34c7ea6e7a0c,London,value,room,value,
d1_europe:34ce2e5a07dd,Barcelona,noise,breakfast,noise,
d1_europe:3547af4c56c7,London,value,room,value,
d1_europe:35c377b6e95f,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:35f3e15097c7,Paris,breakfast,room,breakfast,
d1_europe:36027c950fb3,Barcelona,breakfast,room,breakfast,
d1_europe:361b926ba3e6,London,value,room,value,
d1_europe:3635cd22af3c,Amsterdam,value,room,value,
d1_europe:365726ae14ee,Milan,room,room,room,
d1_europe:369077c44cbb,Barcelona,value,room,value,
d1_europe:36b227b95565,Paris,value,room,value,
d1_europe:36c3e51bd45c,Barcelona,noise,room,noise,
d1_europe:36c98c8cba93,London,cleanliness,room,breakfast,
d1_europe:36cd5862c2d1,Milan,room,room,room,
d1_europe:3728272126c9,Vienna,room,room,room,
d1_europe:3731f2d23219,Paris,value,room,room,
d1_europe:373dba71bd6c,London,noise,room,noise,
d1_europe:37737fc7e255,Milan,noise,noise,noise,
d1_europe:37b750bae938,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:37bdad970d57,Milan,value,room,value,
d1_europe:37c3898c34c7,Paris,value,room,value,
d1_europe:37f2882a0007,Amsterdam,value,room,value,
d1_europe:381abf072f6d,London,noise,room,noise,
d1_europe:382507af54e6,Milan,room,room,room,
d1_europe:386fedd969e3,Vienna,noise,room,noise,
d1_europe:389a18e5d76b,Barcelona,value,room,value,
d1_europe:38a88334f9ee,Amsterdam,value,room,value,
d1_europe:38bb68af0db6,Barcelona,cleanliness,room,cleanliness,
d1_europe:38beefc05895,Paris,breakfast,room,breakfast,
d1_europe:390b04e08b2b,Barcelona,noise,room,noise,
d1_europe:39137be41efb,Barcelona,value,room,value,
d1_europe:39182d14c3f8,Vienna,room,room,room,
d1_europe:39349c419fbf,Paris,noise,service,noise,
d1_europe:393c1b80bfe8,Amsterdam,value,room,value,
d1_europe:39776581bfb7,Paris,room,room,room,
d1_europe:3a1759f94c30,London,noise,room,noise,
d1_europe:3a22e437c8ab,London,value,room,value,
d1_europe:3a2c96b7921d,Barcelona,noise,room,noise,
d1_europe:3a9e18b2a051,Barcelona,value,room,value,
d1_europe:3aab64253445,Paris,value,room,value,
d1_europe:3acfed91a301,Paris,breakfast,breakfast,breakfast,
d1_europe:3ad0790fcf7a,Milan,noise,noise,noise,
d1_europe:3ad22d41fcb2,Amsterdam,value,room,room,
d1_europe:3b0571b550ea,Vienna,noise,room,noise,
d1_europe:3b1f4e2ecdd1,London,breakfast,room,breakfast,
d1_europe:3b3ee3af176e,Amsterdam,value,room,value,
d1_europe:3b4dc693e181,Barcelona,noise,room,noise,
d1_europe:3b5b890677b3,Paris,breakfast,room,breakfast,
d1_europe:3b7957ad000c,London,service,service,service,Insufficient evidence to recommend an action.
d1_europe:3c5fcafeea94,Vienna,noise,room,noise,
d1_europe:3c89d62ed98d,London,breakfast,room,noise,
d1_europe:3d302dc62fa2,London,value,room,value,
d1_europe:3d30ef2d8c74,Milan,noise,room,noise,
d1_europe:3d45112dee7b,Paris,breakfast,breakfast,cleanliness,
d1_europe:3d8704e44291,Milan,value,room,value,
d1_europe:3dce46505dc6,Vienna,value,breakfast,value,
d1_europe:3dd8e0650b6e,Barcelona,noise,room,noise,
d1_europe:3e2f70fb86c4,Barcelona,value,room,value,
d1_europe:3e321d952537,London,value,room,value,
d1_europe:3e600131aa15,London,noise,service,noise,
d1_europe:3e8752c9c177,Paris,cleanliness,cleanliness,cleanliness,Insufficient evidence to recommend an action.
d1_europe:3eb90de8f9b5,Barcelona,noise,room,noise,
d1_europe:3ec76141c6c3,Paris,breakfast,room,breakfast,
d1_europe:3efcf19efe38,Milan,noise,room,noise,
d1_europe:3f045697bab0,Vienna,room,room,room,
d1_europe:3f0d81e40b8a,Paris,cleanliness,room,room,
d1_europe:3f4d6854221f,London,room,room,room,
d1_europe:3f634b936abf,Paris,breakfast,service,service,
d1_europe:3fd1964fc918,London,value,room,value,
d1_europe:40043710a32d,Vienna,room,room,value,
d1_europe:405d55e6a228,Vienna,value,room,value,Insufficient evidence to recommend an action.
d1_europe:4068d9528ad6,Barcelona,cleanliness,room,cleanliness,
d1_europe:40cf3c3da098,Vienna,value,room,room,
d1_europe:4118d622c969,Barcelona,value,room,value,
d1_europe:41271a68a168,Paris,breakfast,breakfast,breakfast,Insufficient evidence to recommend an action.
d1_europe:41514dd596a3,Barcelona,cleanliness,room,cleanliness,
d1_europe:41592bf2895d,London,noise,room,noise,
d1_europe:4184d9dfb9ee,London,value,value,value,
d1_europe:41f7d262ed19,Barcelona,room,room,room,
d1_europe:424a7f56f30e,Milan,noise,room,value,
d1_europe:42566608bd53,Paris,cleanliness,room,cleanliness,
d1_europe:425dd74dbf72,London,value,room,value,
d1_europe:42d8985340a9,Vienna,value,breakfast,value,
d1_europe:42dcc2b5b242,Vienna,breakfast,breakfast,breakfast,Insufficient evidence to recommend an action.
d1_europe:436e37dd59f9,London,value,room,value,
d1_europe:43955c78a5e5,Milan,service,room,service,
d1_europe:43acb8108fdd,London,value,room,value,
d1_europe:43f0b9c19bca,Milan,noise,room,noise,
d1_europe:44828c96327c,Paris,room,room,room,
d1_europe:449c09a7ad8e,London,value,room,value,
d1_europe:44daf773e97a,Barcelona,room,room,room,
d1_europe:456cecccb148,Milan,room,room,room,
d1_europe:4573dc60bc03,Paris,noise,room,noise,
d1_europe:45b00115ea18,Paris,breakfast,breakfast,breakfast,Insufficient evidence to recommend an action.
d1_europe:45bcd9e6bca3,Paris,room,room,room,
d1_europe:45e7ddc52bdb,Paris,noise,service,noise,
d1_europe:4629d540e64e,Barcelona,value,breakfast,breakfast,
d1_europe:466ea58c8df3,Paris,value,room,room,
d1_europe:46713edc2e41,Milan,value,room,value,
d1_europe:46739f2ec366,London,breakfast,room,room,
d1_europe:4693de915b84,London,breakfast,room,breakfast,
d1_europe:469f2d453f7e,Milan,value,room,value,
d1_europe:46aa2b032a80,Paris,noise,service,noise,Insufficient evidence to recommend an action.
d1_europe:46bf793bf071,London,value,room,value,
d1_europe:470d258d6928,London,value,room,value,
d1_europe:475cf7116566,Paris,value,room,value,
d1_europe:478251fd71fc,Amsterdam,value,room,value,
d1_europe:478ccfd557f9,Vienna,value,service,value,
d1_europe:47929cbc8913,London,value,room,value,
d1_europe:47be0789928a,London,room,room,room,
d1_europe:47d164173745,Vienna,room,room,room,
d1_europe:480b968aebb1,Paris,value,room,value,
d1_europe:484ea60e102a,Paris,breakfast,room,breakfast,
d1_europe:486405101a83,Paris,cleanliness,room,cleanliness,
d1_europe:4870af97b7a4,London,breakfast,room,breakfast,
d1_europe:48b35b3a4754,Amsterdam,noise,room,noise,
d1_europe:48cb42045f9f,London,value,room,value,
d1_europe:4905f8d3a315,London,cleanliness,room,cleanliness,
d1_europe:491445c4608a,London,value,room,value,
d1_europe:49b94dfb3100,London,noise,noise,noise,Insufficient evidence to recommend an action.
d1_europe:49c67f2f9e70,Barcelona,noise,room,noise,
d1_europe:49ed350786cc,London,value,room,value,
d1_europe:4a05079bdd0b,Amsterdam,value,room,value,
d1_europe:4a3b6981515d,Paris,cleanliness,room,cleanliness,
d1_europe:4a532074d82c,Paris,cleanliness,room,cleanliness,
d1_europe:4a5ab28385ff,Milan,value,room,value,
d1_europe:4a69d6275825,Paris,noise,room,room,
d1_europe:4a71b0081e19,Vienna,noise,room,noise,
d1_europe:4a8cb2d2019e,Vienna,room,room,room,
d1_europe:4a9485ac06ce,Vienna,value,room,value,
d1_europe:4aabac7daa29,Paris,cleanliness,room,cleanliness,
d1_europe:4ada0c26db4b,London,noise,room,noise,
d1_europe:4aea431c0de9,Barcelona,noise,room,noise,
d1_europe:4af7b06dc7a2,London,room,room,room,
d1_europe:4afe0e798095,Milan,cleanliness,cleanliness,value,
d1_europe:4b04b6b18f0f,Paris,breakfast,room,breakfast,
d1_europe:4b1e50868a5c,London,breakfast,room,breakfast,
d1_europe:4b1fa3b404b0,Paris,noise,room,noise,
d1_europe:4b2369a15c4d,Paris,breakfast,room,breakfast,
d1_europe:4b2fd0f37b85,London,cleanliness,room,cleanliness,
d1_europe:4b4985d919f7,London,noise,room,noise,
d1_europe:4b60065d00dd,London,room,room,room,
d1_europe:4b63e96ffacb,Paris,value,value,value,
d1_europe:4b8c4f10522a,Paris,cleanliness,room,cleanliness,
d1_europe:4b942e7e6c02,London,value,room,value,
d1_europe:4bb352406ea3,London,breakfast,room,breakfast,
d1_europe:4bb5dc3f74d5,London,breakfast,room,breakfast,
d1_europe:4bcdf839d1dc,London,noise,room,noise,
d1_europe:4c14cf38d2d8,Milan,noise,room,noise,
d1_europe:4c4fab25b5c1,Milan,value,room,value,Insufficient evidence to recommend an action.
d1_europe:4c82e9eb2466,London,value,service,value,
d1_europe:4cacd7bc671e,London,value,room,value,
d1_europe:4d1aedb541ee,London,value,room,value,
d1_europe:4d1fa033cebf,Vienna,value,room,value,
d1_europe:4d20d4729e8b,Amsterdam,value,room,value,
d1_europe:4d421dab63be,Amsterdam,room,room,room,
d1_europe:4d545c6325aa,Milan,value,room,value,
d1_europe:4d576a48b5ad,London,breakfast,room,breakfast,
d1_europe:4d5d6e97c0d6,Paris,noise,room,room,
d1_europe:4db6c06bc226,Paris,value,breakfast,value,
d1_europe:4dbbd923ef8d,Amsterdam,value,room,room,
d1_europe:4dbf5edc8860,Paris,room,room,room,
d1_europe:4dc934a74b9e,Barcelona,noise,room,noise,
d1_europe:4e2dc7fb4e15,Barcelona,value,room,value,
d1_europe:4e6a319e088a,London,noise,room,noise,
d1_europe:4eab38e01178,Paris,value,breakfast,value,Insufficient evidence to recommend an action.
d1_europe:4ee5243560d5,Paris,breakfast,breakfast,breakfast,
d1_europe:4ef90b1ccc6a,Vienna,value,room,value,
d1_europe:4f104366c5a4,Amsterdam,value,room,room,
d1_europe:4f69fdc472e9,Paris,cleanliness,room,cleanliness,Insufficient evidence to recommend an action.
d1_europe:4fc14924d108,Amsterdam,value,room,value,
d1_europe:4fc7a64d77eb,Vienna,value,room,value,
d1_europe:4fcce5c35ad3,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:4fea2de4ee4d,Vienna,room,room,room,
d1_europe:5002a415cb12,London,cleanliness,room,cleanliness,
d1_europe:50037bd7efd4,Milan,room,room,room,
d1_europe:507b10fb5d02,London,value,room,value,
d1_europe:509bdb04b0cb,Paris,cleanliness,room,cleanliness,
d1_europe:50e4c1ff158b,London,room,room,room,
d1_europe:5128e972eaf8,London,value,room,value,
